Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
L001,Undetermined,PE,76,1.77,NA,23257346,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L001,HUMCDGEYDPEI-243-v108,PE,76,0.76,7.5229e+08,9969794,3.60,6.92,99.91,0.09,45.57,94.59,92.70,45.54,45.60,95.37,93.82,93.63,91.76
L001,HUMCNGEXSPEI-231-v109,PE,76,0.47,4.6686e+08,6184676,2.23,4.97,99.92,0.08,47.67,93.13,90.78,47.61,47.74,94.39,91.87,92.31,89.25
L001,HUMCNGEXTPEI-274-v109,PE,76,0.39,3.9067e+08,5175100,1.87,4.81,99.92,0.08,48.03,92.88,90.47,47.92,48.14,94.32,91.44,92.19,88.75
L001,HUMCNGEXUPEI-240-v109,PE,76,0.33,3.2950e+08,4365174,1.57,5.51,99.92,0.08,46.91,93.19,90.87,46.80,47.01,94.49,91.90,92.42,89.31
L001,HUMCNGEXVPEI-235-v109,PE,76,0.43,4.2947e+08,5688770,2.05,7.59,99.92,0.08,48.55,93.12,90.77,48.46,48.65,94.15,92.08,91.99,89.55
L001,HUMCNGEXWPEI-220-v109,PE,76,0.42,4.1807e+08,5538022,2.00,3.68,99.92,0.08,47.94,93.06,90.67,47.82,48.05,94.19,91.92,92.02,89.31
L001,HUMCNGEXYPEI-206-v109,PE,76,0.44,4.3811e+08,5803026,2.09,6.94,99.92,0.08,49.25,92.95,90.55,49.18,49.32,94.22,91.69,92.08,89.02
L001,HUMCNGEYLPEI-279-v109,PE,76,0.36,3.5323e+08,4678962,1.69,6.14,99.92,0.08,48.31,92.58,90.08,48.19,48.44,94.14,91.02,91.95,88.21
L001,HUMCNGEXZPEI-215-v109,PE,76,1.06,1.0562e+09,13990596,5.05,4.33,99.92,0.08,48.65,92.94,90.56,48.52,48.78,94.33,91.55,92.24,88.88
L001,HUMCNGENWPEI-281-v109,PE,76,0.20,2.0055e+08,2656674,0.96,5.27,99.92,0.08,47.53,92.12,89.46,47.44,47.61,93.75,90.49,91.41,87.52
L001,HUMCNGENVPEI-275-v109,PE,76,0.81,8.0304e+08,10636320,3.84,7.37,99.92,0.08,49.04,92.59,90.08,48.94,49.14,93.85,91.33,91.56,88.59
L001,HUMCNGEYNPEI-284-v109,PE,76,1.45,1.4301e+09,19100396,6.89,3.51,99.89,0.11,52.24,93.00,90.88,52.16,52.31,93.36,92.65,91.32,90.44
L001,HUMCNGEYMPEI-280-v109,PE,76,1.32,1.3100e+09,17353906,6.26,5.28,99.92,0.08,48.79,92.95,90.54,48.77,48.82,94.04,91.86,91.84,89.25
L001,HUMCDGEYIPEI-267-v109,PE,76,3.42,3.3934e+09,44954496,16.22,6.22,99.92,0.08,49.10,93.75,91.62,49.10,49.09,94.58,92.91,92.61,90.63
L001,HUMCDGEYJPEI-269-v109,PE,76,3.37,3.3426e+09,44281532,15.97,2.04,99.92,0.08,48.73,93.93,91.88,48.72,48.75,94.70,93.16,92.80,90.96
L001,HUMCDGEYFPEI-213-v109,PE,76,4.00,3.9689e+09,52581556,18.97,2.01,99.91,0.09,48.51,93.87,91.81,48.48,48.53,94.75,93.00,92.85,90.77
L001,HUMCAAXH0PEI-108-mini,PE,76,0.08,7.4965e+07,994816,0.36,3.81,99.78,0.22,42.96,93.48,91.38,42.36,43.56,94.92,92.04,93.09,89.67
L001,Total,PE,76,21.07,NA,277211162,100.00,NA,99.91,0.09,48.78,93.51,91.32,48.73,48.82,94.44,92.57,92.44,90.20
L002,Undetermined,PE,76,1.78,NA,23473490,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L002,HUMCDGEYDPEI-243-v108,PE,76,0.74,7.3533e+08,9745236,3.57,7.10,99.91,0.09,45.60,94.80,93.04,45.54,45.66,95.73,93.87,94.16,91.92
L002,HUMCNGEXSPEI-231-v109,PE,76,0.46,4.5514e+08,6029440,2.21,4.94,99.91,0.09,47.71,93.40,91.21,47.62,47.79,94.81,91.99,92.91,89.52
L002,HUMCNGEXTPEI-274-v109,PE,76,0.39,3.8566e+08,5108706,1.87,4.57,99.91,0.09,48.08,93.11,90.87,47.94,48.22,94.72,91.50,92.78,88.96
L002,HUMCNGEXUPEI-240-v109,PE,76,0.33,3.2332e+08,4283260,1.57,5.54,99.92,0.08,46.93,93.52,91.37,46.81,47.05,94.92,92.11,93.05,89.70
L002,HUMCNGEXVPEI-235-v109,PE,76,0.43,4.2282e+08,5600752,2.05,7.63,99.91,0.09,48.58,93.41,91.24,48.47,48.70,94.58,92.25,92.61,89.86
L002,HUMCNGEXWPEI-220-v109,PE,76,0.41,4.1194e+08,5456902,2.00,3.71,99.92,0.08,47.97,93.35,91.15,47.84,48.10,94.66,92.05,92.69,89.60
L002,HUMCNGEXYPEI-206-v109,PE,76,0.44,4.3339e+08,5740592,2.10,7.17,99.91,0.09,49.28,93.29,91.08,49.19,49.37,94.65,91.94,92.69,89.47
L002,HUMCNGEYLPEI-279-v109,PE,76,0.35,3.4875e+08,4619646,1.69,5.76,99.92,0.08,48.38,92.81,90.48,48.22,48.53,94.55,91.07,92.55,88.40
L002,HUMCNGEXZPEI-215-v109,PE,76,1.05,1.0410e+09,13789060,5.04,3.98,99.91,0.09,48.69,93.18,90.96,48.54,48.84,94.74,91.62,92.83,89.09
L002,HUMCNGENWPEI-281-v109,PE,76,0.20,1.9802e+08,2623052,0.96,5.05,99.92,0.08,47.59,92.36,89.87,47.48,47.70,94.21,90.51,92.05,87.68
